2026-04-01 18:58:47 | INFO | ContentPipeline | Using Windows SAPI TTS provider.
2026-04-01 18:58:47 | INFO | ContentPipeline | Using styled local card generator for images.
2026-04-01 18:58:49 | WARNING | ScriptService | Script provider ollama failed for topic Consumer Technology Facts And Digital Behavior angle 18: Ollama unavailable: [WinError 10061] Подключение не установлено, т.к. конечный компьютер отверг запрос на подключение
2026-04-01 19:26:47 | INFO | ContentPipeline | Using Windows SAPI TTS provider.
2026-04-01 19:26:47 | INFO | ContentPipeline | Using styled local card generator for images.
2026-04-01 19:26:49 | WARNING | ScriptService | Script provider ollama failed for topic Why Wi-Fi slows down at night: Ollama unavailable: [WinError 10061] Подключение не установлено, т.к. конечный компьютер отверг запрос на подключение
2026-04-01 19:28:21 | INFO | ContentPipeline | Using Windows SAPI TTS provider.
2026-04-01 19:28:21 | INFO | ContentPipeline | Using styled local card generator for images.
2026-04-01 19:28:23 | WARNING | ScriptService | Script provider ollama failed for topic Why Wi-Fi slows down at night: Ollama unavailable: [WinError 10061] Подключение не установлено, т.к. конечный компьютер отверг запрос на подключение
